x,y,z
-172.8, 1.7, -110.8 
-172.5, 1.7, -111.4 
-172.2, 1.7, -112.3 
-171.9, 1.7, -112.9 
-171.6, 1.7, -113.6 
-171.3, 1.7, -114.2 
-171.0, 1.7, -114.8 
-170.7, 1.7, -115.5 
-170.3, 1.7, -116.3 
-170.0, 1.7, -116.9 
-169.7, 1.7, -117.5 
-169.4, 1.7, -118.0 
-169.0, 1.7, -118.8 
-168.6, 1.7, -119.4 
-168.3, 1.7, -120.0 
-167.9, 1.7, -120.6 
-167.5, 1.7, -121.4 
-167.2, 1.7, -121.8 
-166.8, 1.7, -122.4 
-166.5, 1.7, -123.0 
-166.2, 1.7, -123.5 
-165.8, 1.7, -124.1 
-165.5, 1.7, -124.5 
-165.2, 1.7, -125.0 
-164.8, 1.7, -125.6 
-164.5, 1.7, -126.0 
-164.1, 1.7, -126.6 
-163.7, 1.7, -127.2 
-163.4, 1.7, -127.6 
-163.0, 1.7, -128.2 
-162.6, 1.7, -128.6 
-162.3, 1.7, -129.0 
-161.9, 1.7, -129.6 
-161.4, 1.7, -130.1 
-160.7, 1.7, -130.9 
-160.7, 1.7, -130.9 
-160.0, 1.7, -131.7 
-159.5, 1.7, -132.2 
-159.0, 1.7, -132.6 
-158.4, 1.7, -133.1 
-157.9, 1.7, -133.6 
-157.4, 1.7, -134.0 
-156.8, 1.7, -134.5 
-156.1, 1.7, -135.0 
-155.7, 1.7, -135.3 
-155.2, 1.7, -135.8 
-154.6, 1.7, -136.2 
-154.0, 1.7, -136.6 
-153.4, 1.7, -137.0 
-153.0, 1.7, -137.3 
-152.4, 1.7, -137.7 
-151.8, 1.7, -138.1 
-151.1, 1.7, -138.5 
-150.6, 1.7, -138.8 
-149.9, 1.7, -139.3 
-149.3, 1.7, -139.7 
-148.7, 1.7, -140.1 
-148.1, 1.7, -140.5 
-147.5, 1.7, -140.8 
-146.9, 1.7, -141.2 
-146.5, 1.7, -141.5 
-145.9, 1.7, -141.9 
-145.4, 1.7, -142.2 
-145.0, 1.7, -142.4 
-144.5, 1.7, -142.7 
-143.9, 1.7, -143.1 
-143.2, 1.7, -143.5 
-142.7, 1.7, -143.8 
-142.1, 1.7, -144.2 
-141.5, 1.7, -144.5 
-140.7, 1.7, -145.0 
-140.1, 1.7, -145.3 
-139.6, 1.7, -145.6 
-138.9, 1.7, -146.0 
-138.2, 1.7, -146.3 
-137.6, 1.7, -146.6 
-137.0, 1.7, -147.0 
-136.3, 1.7, -147.3 
-135.5, 1.7, -147.7 
-134.9, 1.7, -148.0 
-134.3, 1.7, -148.3 
-133.6, 1.7, -148.5 
-132.9, 1.7, -148.8 
-132.1, 1.7, -149.2 
-131.5, 1.7, -149.4 
-130.8, 1.7, -149.7 
-130.3, 1.7, -149.9 
-129.7, 1.7, -150.1 
-129.2, 1.7, -150.3 
-128.7, 1.7, -150.5 
-128.0, 1.7, -150.7 
-127.3, 1.7, -151.0 
-126.7, 1.7, -151.2 
-126.0, 1.7, -151.4 
-125.3, 1.7, -151.7 
-124.5, 1.7, -151.9 
-123.8, 1.7, -152.2 
-123.8, 1.7, -152.2 
-122.8, 1.7, -152.5 
-122.1, 1.7, -152.7 
-121.4, 1.7, -152.9 
-120.9, 1.7, -153.1 
-120.3, 1.7, -153.3 
-119.6, 1.7, -153.5 
-119.1, 1.7, -153.6 
-118.4, 1.7, -153.8 
-117.9, 1.7, -154.0 
-117.2, 1.7, -154.2 
-116.5, 1.7, -154.4 
-115.8, 1.7, -154.6 
-115.3, 1.7, -154.7 
-114.5, 1.7, -154.9 
-113.4, 1.7, -155.2 
-113.4, 1.7, -155.2 
-112.2, 1.7, -155.5 
-111.7, 1.7, -155.6 
-111.0, 1.7, -155.7 
-110.1, 1.7, -155.9 
-109.4, 1.7, -156.1 
-108.6, 1.7, -156.2 
-107.9, 1.7, -156.4 
-107.2, 1.7, -156.5 
-106.3, 1.7, -156.6 
-105.6, 1.7, -156.7 
-105.1, 1.7, -156.8 
-104.2, 1.7, -157.0 
-104.2, 1.7, -157.0 
-103.2, 1.7, -157.1 
-102.5, 1.7, -157.2 
-101.6, 1.7, -157.3 
-101.6, 1.7, -157.3 
-100.7, 1.7, -157.4 
-99.8, 1.7, -157.5 
-99.1, 1.7, -157.6 
-98.6, 1.7, -157.6 
-97.7, 1.7, -157.7 
-97.0, 1.7, -157.8 
-96.3, 1.7, -157.8 
-95.6, 1.7, -157.9 
-94.9, 1.7, -157.9 
-94.2, 1.7, -158.0 
-93.5, 1.7, -158.0 
-93.5, 1.7, -158.0 
-92.4, 1.7, -158.1 
-91.7, 1.7, -158.1 
-91.0, 1.7, -158.2 
-90.3, 1.7, -158.3 
-89.7, 1.7, -158.3 
-88.9, 1.7, -158.4 
-88.2, 1.7, -158.5 
-87.6, 1.7, -158.5 
-86.9, 1.7, -158.6 
-86.2, 1.7, -158.7 
-85.7, 1.7, -158.7 
-84.8, 1.7, -158.8 
-84.1, 1.7, -158.9 
-83.6, 1.7, -159.0 
-82.9, 1.7, -159.0 
-82.2, 1.7, -159.1 
-81.1, 1.7, -159.2 
-81.1, 1.7, -159.2 
-79.9, 1.7, -159.4 
-79.9, 1.7, -159.4 
-78.8, 1.7, -159.5 
-78.1, 1.7, -159.6 
-77.6, 1.7, -159.6 
-76.9, 1.7, -159.7 
-76.0, 1.7, -159.8 
-75.5, 1.7, -159.8 
-74.8, 1.7, -159.9 
-74.3, 1.7, -159.9 
-73.5, 1.7, -160.0 
-73.0, 1.7, -160.0 
-72.3, 1.7, -160.1 
-71.6, 1.7, -160.1 
-70.9, 1.7, -160.1 
-70.2, 1.7, -160.1 
-69.5, 1.7, -160.2 
-68.6, 1.7, -160.2 
-68.6, 1.7, -160.2 
-67.3, 1.7, -160.2 
-67.3, 1.7, -160.2 
-66.6, 1.7, -160.1 
-65.9, 1.7, -160.1 
-65.2, 1.7, -160.1 
-64.7, 1.7, -160.1 
-64.0, 1.7, -160.1 
-63.4, 1.7, -160.0 
-62.7, 1.7, -160.0 
-62.0, 1.7, -160.0 
-61.3, 1.7, -159.9 
-60.6, 1.7, -159.9 
-60.1, 1.7, -159.9 
-59.4, 1.7, -159.8 
-58.8, 1.7, -159.8 
-58.1, 1.7, -159.7 
-57.3, 1.7, -159.7 
-57.3, 1.7, -159.7 
-56.4, 1.7, -159.6 
-54.4, 1.7, -159.5 
-53.7, 1.7, -159.4 
-53.0, 1.7, -159.4 
-52.3, 1.7, -159.3 
-51.6, 1.7, -159.3 
-50.7, 1.7, -159.2 
-50.7, 1.7, -159.2 
-49.6, 1.7, -159.1 
-48.8, 1.7, -159.1 
-48.0, 1.7, -159.0 
-48.0, 1.7, -159.0 
-47.2, 1.7, -159.0 
-46.3, 1.7, -158.9 
-45.6, 1.7, -158.9 
-45.6, 1.7, -158.9 
-44.5, 1.7, -158.8 
-43.8, 1.7, -158.7 
-43.1, 1.7, -158.7 
-42.4, 1.7, -158.7 
-42.4, 1.7, -158.7 
-41.5, 1.7, -158.6 
-40.6, 1.6, -158.5 
-39.7, 1.6, -158.5 
-39.7, 1.6, -158.5 
-38.3, 1.6, -158.4 
-38.3, 1.6, -158.4 
-37.4, 1.6, -158.3 
-36.5, 1.6, -158.2 
-36.5, 1.6, -158.2 
-35.6, 1.6, -158.2 
-34.7, 1.6, -158.1 
-34.2, 1.6, -158.0 
-33.3, 1.6, -157.9 
-33.3, 1.6, -157.9 
-32.3, 1.6, -157.9 
-31.4, 1.6, -157.8 
-30.7, 1.6, -157.7 
-30.7, 1.6, -157.7 
-29.8, 1.6, -157.6 
-29.1, 1.6, -157.5 
-28.4, 1.6, -157.5 
-27.6, 1.6, -157.4 
-26.8, 1.6, -157.3 
-26.8, 1.6, -157.3 
-25.9, 1.6, -157.2 
-25.0, 1.6, -157.1 
-24.3, 1.6, -157.0 
-23.6, 1.6, -156.9 
-23.0, 1.6, -156.8 
-22.3, 1.6, -156.7 
-21.5, 1.6, -156.6 
-21.5, 1.6, -156.6 
-20.6, 1.6, -156.5 
-19.9, 1.6, -156.4 
-19.2, 1.6, -156.3 
-18.5, 1.6, -156.2 
-17.8, 1.6, -156.1 
-17.2, 1.6, -156.1 
-16.5, 1.6, -156.0 
-15.8, 1.6, -155.9 
-15.1, 1.6, -155.8 
-14.4, 1.6, -155.7 
-13.9, 1.6, -155.6 
-13.2, 1.6, -155.5 
-12.5, 1.6, -155.4 
-11.9, 1.6, -155.3 
-11.2, 1.6, -155.2 
-11.2, 1.6, -155.2 
-10.4, 1.6, -155.1 
-9.5, 1.6, -154.9 
-8.8, 1.6, -154.8 
-8.1, 1.6, -154.7 
-7.6, 1.6, -154.6 
-6.9, 1.6, -154.5 
-6.2, 1.6, -154.4 
-5.5, 1.6, -154.3 
-5.5, 1.6, -154.3 
-4.4, 1.6, -154.2 
-3.7, 1.6, -154.1 
-3.2, 1.6, -154.0 
-2.5, 1.6, -153.9 
-1.8, 1.6, -153.8 
-0.9, 1.6, -153.6 
-0.9, 1.6, -153.6 
0.0, 1.6, -153.5 
0.9, 1.6, -153.4 
1.4, 1.6, -153.3 
2.1, 1.6, -153.2 
2.8, 1.6, -153.1 
3.5, 1.6, -153.0 
3.5, 1.6, -153.0 
4.6, 1.6, -152.8 
5.5, 1.6, -152.7 
5.5, 1.6, -152.7 
6.3, 1.6, -152.6 
7.2, 1.6, -152.4 
8.1, 1.6, -152.3 
8.6, 1.6, -152.2 
9.3, 1.6, -152.1 
10.0, 1.6, -152.0 
10.6, 1.6, -151.9 
11.4, 1.6, -151.8 
12.1, 1.6, -151.7 
12.8, 1.6, -151.6 
13.5, 1.6, -151.5 
13.5, 1.6, -151.5 
14.6, 1.6, -151.4 
15.3, 1.6, -151.3 
15.8, 1.6, -151.2 
16.6, 1.6, -151.1 
17.3, 1.6, -151.0 
18.1, 1.6, -150.9 
18.1, 1.6, -150.9 
19.0, 1.6, -150.8 
19.7, 1.6, -150.7 
20.3, 1.6, -150.6 
21.0, 1.6, -150.6 
21.9, 1.6, -150.4 
22.4, 1.6, -150.4 
23.1, 1.6, -150.3 
23.1, 1.6, -150.3 
24.2, 1.6, -150.1 
24.9, 1.6, -150.1 
25.4, 1.6, -150.0 
26.1, 1.6, -149.9 
26.8, 1.6, -149.8 
27.5, 1.7, -149.7 
28.2, 1.7, -149.6 
28.9, 1.7, -149.5 
29.6, 1.7, -149.5 
30.5, 1.7, -149.3 
31.1, 1.7, -149.3 
31.1, 1.7, -149.3 
32.1, 1.7, -149.1 
33.0, 1.7, -149.0 
33.0, 1.7, -149.0 
33.9, 1.7, -148.9 
34.7, 1.7, -148.8 
35.5, 1.7, -148.7 
35.5, 1.7, -148.7 
36.5, 1.7, -148.6 
37.2, 1.7, -148.5 
37.9, 1.7, -148.4 
38.6, 1.7, -148.3 
39.2, 1.7, -148.2 
40.0, 1.7, -148.1 
40.7, 1.7, -148.0 
41.5, 1.7, -148.0 
41.5, 1.7, -148.0 
42.5, 1.7, -147.8 
42.5, 1.7, -147.8 
43.6, 1.7, -147.7 
44.3, 1.7, -147.6 
45.2, 1.7, -147.5 
45.9, 1.7, -147.4 
45.9, 1.7, -147.4 
47.0, 1.7, -147.3 
47.8, 1.7, -147.1 
48.7, 1.7, -147.0 
48.7, 1.7, -147.0 
49.8, 1.7, -146.9 
50.5, 1.7, -146.8 
50.5, 1.7, -146.8 
51.4, 1.7, -146.7 
52.1, 1.7, -146.6 
52.6, 1.7, -146.5 
53.5, 1.7, -146.4 
54.2, 1.7, -146.3 
54.9, 1.7, -146.2 
55.6, 1.7, -146.2 
56.1, 1.7, -146.1 
56.9, 1.7, -146.0 
57.6, 1.7, -145.9 
57.6, 1.7, -145.9 
58.4, 1.7, -145.8 
59.1, 1.7, -145.7 
59.8, 1.7, -145.6 
60.4, 1.7, -145.5 
61.1, 1.7, -145.4 
61.6, 1.7, -145.3 
62.3, 1.7, -145.2 
63.2, 1.7, -145.1 
63.7, 1.7, -145.0 
64.4, 1.7, -144.9 
65.1, 1.7, -144.8 
65.8, 1.7, -144.7 
66.7, 1.7, -144.6 
66.7, 1.7, -144.6 
67.8, 1.7, -144.5 
68.5, 1.7, -144.4 
69.2, 1.7, -144.3 
69.2, 1.7, -144.3 
70.3, 1.7, -144.2 
71.2, 1.7, -144.1 
71.7, 1.7, -144.0 
72.6, 1.7, -143.9 
73.3, 1.7, -143.9 
73.3, 1.7, -143.9 
74.5, 1.7, -143.7 
75.2, 1.7, -143.7 
75.8, 1.7, -143.7 
76.5, 1.7, -143.6 
77.0, 1.7, -143.6 
77.9, 1.7, -143.5 
78.6, 1.7, -143.5 
79.3, 1.7, -143.4 
80.0, 1.7, -143.4 
80.8, 1.7, -143.3 
81.5, 1.7, -143.2 
82.3, 1.7, -143.1 
82.9, 1.7, -143.0 
83.8, 1.7, -142.9 
83.8, 1.7, -142.9 
84.6, 1.7, -142.7 
85.5, 1.7, -142.5 
86.0, 1.7, -142.4 
86.7, 1.7, -142.2 
87.4, 1.7, -142.0 
88.1, 1.7, -141.8 
88.8, 1.7, -141.6 
89.6, 1.7, -141.4 
89.6, 1.7, -141.4 
90.6, 1.7, -141.0 
91.5, 1.7, -140.7 
92.1, 1.7, -140.5 
92.1, 1.7, -140.5 
93.3, 1.7, -140.0 
94.1, 1.7, -139.7 
94.1, 1.7, -139.7 
95.1, 1.7, -139.4 
95.8, 1.7, -139.1 
96.5, 1.7, -138.9 
97.2, 1.7, -138.6 
97.2, 1.7, -138.6 
98.3, 1.7, -138.2 
98.3, 1.7, -138.2 
99.2, 1.7, -138.0 
99.9, 1.7, -137.7 
100.4, 1.7, -137.6 
101.0, 1.7, -137.4 
101.6, 1.7, -137.2 
102.2, 1.7, -137.0 
102.9, 1.7, -136.8 
103.6, 1.7, -136.6 
104.3, 1.7, -136.3 
105.0, 1.7, -136.1 
105.6, 1.7, -135.9 
106.1, 1.7, -135.7 
106.8, 1.7, -135.5 
107.5, 1.7, -135.2 
108.3, 1.7, -134.9 
108.3, 1.7, -134.9 
109.3, 1.7, -134.5 
110.1, 1.7, -134.2 
110.8, 1.7, -133.9 
111.4, 1.7, -133.6 
112.0, 1.7, -133.2 
112.0, 1.7, -133.2 
